,tanggal,pm10,pm25,so2,co,o3,no2,co2
84,2022-01-20,32.180653,75.64849,19.034811,6.911581,35.884907,6.1614304,1080.3569
85,2022-01-21,35.30696,75.64849,19.873545,6.853725,33.668434,5.3678217,841.02936
86,2022-01-22,34.171055,75.64849,18.995174,7.7566295,34.138893,5.302019,919.45404
87,2022-01-23,36.766186,75.64849,17.446665,10.257353,35.68869,7.503632,1183.5352
88,2022-01-24,49.517807,75.64849,16.592783,13.313602,37.0483,7.5534697,1325.5814
89,2022-01-25,44.01871,75.64849,16.928606,13.695772,36.344482,9.057739,1992.5538
90,2022-01-26,43.972122,75.64849,18.892572,12.447493,39.995235,9.387452,1261.0166
91,2022-01-27,55.578846,75.64849,18.054882,10.093431,42.229477,12.245438,1456.8252
92,2022-01-28,35.808453,75.64849,18.556658,7.481762,38.56711,10.367186,2059.6921
93,2022-01-29,40.827957,75.64849,16.978506,10.494435,40.603554,13.547999,1138.8915
94,2022-01-30,31.667002,75.648476,17.255693,8.627548,30.81426,14.891525,2071.1582
95,2022-01-31,32.91922,75.648476,18.00616,19.303415,29.998798,13.417669,1973.5779
96,2022-02-01,45.205994,75.64849,19.323694,15.254207,29.633396,10.148287,1607.7922
97,2022-02-02,40.22951,92.48732,18.982141,19.350376,30.504787,13.7012615,1829.5145
98,2022-02-03,42.778564,79.68586,17.339483,16.510416,24.538033,14.879177,1856.1578
99,2022-02-04,41.393147,59.935062,20.26277,12.497952,26.757809,16.590908,1161.2694
100,2022-02-05,36.373367,64.66532,22.16508,8.834612,19.116985,14.880771,1153.0482
101,2022-02-06,33.044296,56.780384,21.565283,8.9543085,17.53843,11.991199,1233.4507
102,2022-02-07,38.963028,57.792103,23.632172,9.750797,17.633669,14.866074,1034.7352
103,2022-02-08,34.360508,52.237167,24.037188,8.929203,17.835129,23.62819,1329.7797
104,2022-02-09,38.440754,55.462917,23.060976,10.670212,16.327467,12.3811245,1186.551
105,2022-02-10,49.26536,54.763054,22.81052,11.815053,18.14216,6.101296,1010.57874
106,2022-02-11,48.274654,65.04164,25.286411,8.761257,17.833916,16.381483,529.59705
107,2022-02-12,34.709152,49.84891,25.986814,6.317203,15.830037,17.259272,785.63513
108,2022-02-13,34.77472,50.376404,25.919447,6.37034,14.018771,11.592935,733.7035
109,2022-02-14,36.63889,52.62322,28.128345,6.070845,13.466154,9.762163,870.2622
110,2022-02-15,39.242775,51.843803,29.722525,5.870049,14.560916,24.971544,552.5965
111,2022-02-16,38.496532,52.154633,27.834866,5.3932977,14.877845,12.3427105,779.78937
112,2022-02-17,32.925224,42.69559,27.119396,6.7354035,17.611917,8.157706,915.9732
113,2022-02-18,40.979675,53.709206,25.859152,8.439645,18.2062,17.547522,683.20447
114,2022-02-19,34.867584,60.16718,26.934908,8.130346,17.471008,17.29518,1321.9829
115,2022-02-20,29.291777,54.557194,27.933283,8.990819,17.213882,17.065847,895.9774
116,2022-02-21,32.68902,54.32304,32.110813,6.3089128,16.273918,10.07309,1078.9192
117,2022-02-22,30.469099,53.6517,31.427021,7.4827676,17.218222,22.40799,1305.7937
118,2022-02-23,38.99857,64.06597,26.674458,9.667914,17.177855,18.536821,886.71045
119,2022-02-24,39.058743,70.63283,24.244795,9.044323,18.796436,15.691538,1502.6548
120,2022-02-25,28.30985,57.854584,24.506094,11.568842,17.132545,22.50597,1265.8862
121,2022-02-26,36.448784,48.29103,25.570738,8.201626,16.511497,8.283406,1252.3076
122,2022-02-27,34.699986,53.728924,28.527246,10.72151,16.807762,12.378351,1285.779
123,2022-02-28,35.368496,57.44007,30.280886,10.764772,16.944386,18.62195,977.4238
124,2022-03-01,35.166134,67.04797,25.045115,8.370828,17.414778,20.51107,982.5015
125,2022-03-02,29.565027,63.803696,24.446505,9.420828,19.478638,14.306886,1088.2499
126,2022-03-03,39.090748,59.697155,24.160244,9.374338,20.995094,8.708601,941.3058
127,2022-03-04,45.019062,70.94743,24.585108,8.539867,20.166355,18.402681,809.3466
128,2022-03-05,39.581207,72.11545,25.213425,7.4843807,19.805592,16.048723,895.6238
129,2022-03-06,37.07249,66.2602,24.593557,7.183096,20.277193,14.802877,934.53375
130,2022-03-07,36.311817,74.47955,25.544518,9.281524,19.951546,18.144238,1087.0436
131,2022-03-08,44.787987,82.01015,23.364408,10.092849,20.283424,17.400995,1426.477
132,2022-03-09,48.42029,74.394264,24.949087,9.816246,18.315212,24.506872,1302.1501
133,2022-03-10,42.25239,68.84655,24.712868,8.527716,17.372152,19.236063,1467.5311
134,2022-03-11,42.83317,76.612656,25.48131,10.898542,17.0154,20.345839,1308.418
135,2022-03-12,48.02043,63.950523,26.426685,12.575344,15.780883,19.03802,1697.557
136,2022-03-13,48.2807,67.80931,26.555979,11.466577,16.25814,26.419237,1383.0138
137,2022-03-14,45.383774,74.47514,25.254576,11.347311,17.370413,14.204818,1473.2933
138,2022-03-15,44.30621,69.294106,26.665781,13.477281,19.418648,14.027429,1654.0067
139,2022-03-16,54.31813,82.64966,27.689444,14.169828,17.287016,20.150612,1053.5854
140,2022-03-17,48.29937,84.70206,28.286829,10.002674,18.993492,18.853815,1374.9282
141,2022-03-18,47.60142,84.70064,29.152605,11.760725,19.80983,19.615414,1066.0496
142,2022-03-19,51.185986,89.75938,31.302778,8.694285,22.292706,12.121716,1479.9261
143,2022-03-20,53.4349,90.156334,30.58883,10.259268,26.174152,22.133589,1164.9865
144,2022-03-21,55.171146,79.5474,30.876528,8.076696,27.603638,15.957689,1098.7184
145,2022-03-22,45.833958,74.90097,33.729244,7.9569974,26.528162,16.383738,1220.3267
146,2022-03-23,45.514614,70.51867,33.70183,9.999416,24.225395,13.756965,1153.4142
